array_type,algorithm,n,time,ops
reversed,insertion,1600,57570.860859705135,8967192
reversed,insertion,1700,65176.9725594204,10122642
reversed,insertion,1800,73671.00000032224,11348092
reversed,insertion,1900,82894.94993980043,12643542
reversed,insertion,2000,92338.17746047862,14008992
reversed,counting,100,14.385099057108164,2998
reversed,counting,200,29.88493535667658,5998
reversed,counting,300,44.921578373759985,8998
reversed,counting,400,69.8666786774993,11998
reversed,counting,500,87.70922780968249,14998
reversed,counting,600,113.10080299153924,17998
reversed,counting,700,133.40664329007268,20998
reversed,counting,800,156.61408193409443,23998
reversed,counting,900,180.33419735729694,26998
reversed,counting,1000,203.8141037337482,29998
reversed,counting,1100,223.57830428518355,32998
reversed,counting,1200,246.54078064486387,35998
reversed,counting,1300,271.0958372335881,38998
reversed,counting,1400,293.22161339223385,41998
reversed,counting,1500,318.0532983969897,44998
reversed,counting,1600,339.9066557176411,47998
reversed,counting,1700,365.2409021742642,50998
reversed,counting,1800,384.4824805855751,53998
reversed,counting,1900,407.6542367693037,56998
reversed,counting,2000,437.0908357668668,59998
reversed,merge,100,58.00163373351097,8049
reversed,merge,200,119.64922421611845,18205
reversed,merge,300,198.15836218185723,29137
reversed,merge,400,262.77166907675564,40617
reversed,merge,500,346.34833689779043,51757
reversed,merge,600,431.97003775276244,64581
reversed,merge,700,506.1517178546638,77221
reversed,merge,800,583.6033797822893,89641
reversed,merge,900,664.1825661063194,101961
reversed,merge,1000,739.9566634558141,114021
reversed,merge,1100,850.0075351912528,127769
reversed,merge,1200,940.4866606928408,141769
reversed,merge,1300,1027.9683209955692,155469
reversed,merge,1400,1098.52752299048,169149
reversed,merge,1500,1198.3341607265174,182549
reversed,merge,1600,1279.8542180098593,196089
reversed,merge,1700,1363.5966391302645,209689
reversed,merge,1800,1445.1024774461985,222829
reversed,merge,1900,1528.592457761988,236149
reversed,merge,2000,1619.1142552997917,249049
reversed,quick,100,116.34082067757845,22381
reversed,quick,200,396.0242390166968,84781
reversed,quick,300,883.6591755971313,187181
reversed,quick,400,1640.1382244657725,329581
reversed,quick,500,2759.627504274249,511981
reversed,quick,600,4279.568380443379,734381
reversed,quick,700,5885.203463258222,996781
reversed,quick,800,7581.089946907014,1299181
